,ZIPCODE,Total_Lights
0,02026,28
1,02045,8
2,02108,1630
3,02109,882
4,02110,1347
5,02111,2489
6,02113,1982
7,02114,1358
8,02115,2568
9,02116,1511
10,02118,4583
11,02119,4492
12,02120,4092
13,02121,4388
14,02122,2195
15,02124,3648
16,02125,162
17,02126,2874
18,02127,4934
19,02128,3500
20,02129,3920
21,02130,3252
22,02131,2193
23,02132,2227
24,02134,1532
25,02135,2920
26,02136,1408
27,02139,279
28,02141,150
29,02142,187
30,02145,139
31,02150,374
32,02151,2
33,02152,257
34,02163,707
35,02199,2543
36,02203,562
37,02210,1954
38,02445,218
39,02446,158
40,02458,108
41,02459,21
42,02467,266
43,02472,17
