DATE,count,Temperature,Visibility,cloud,humidity,Conditions,DJI,Precipitation,Snow,snow_depth,wind_speed,DAY_OF_WEEK,WEEKEND,DAY_OF_MONTH,YEAR,MONTH,UNEMPLOY_RATE,fed_holiday,gov_holiday,nonpub_holiday,reg_holiday,race_label,BCG,BSX,EIX,JHI,MPGSX,STT,TJX,TMO,UNEMPLOY_RATE_7,JHI_7,MPGSX_7,TJX_7,TMO_7,BSX_7,EIX_7,STT_7,BCG_7,count_lag,Temperature_lag,DJI_lag,UNEMPLOY_RATE_lag,Conditions_lag,Precipitation_lag,Snow_lag,JHI_lag,MPGSX_lag,TJX_lag,TMO_lag,JHI_7_lag,MPGSX_7_lag,TJX_7_lag,TMO_7_lag,BCG_7_lag,t
2018-01-01,48,5.6,9.9,15.0,48.02,Clear,24824.01,0.0,0.0,1.51,20.7,1,0,1,2018,1,3.7,1.0,0.0,0.0,0.0,ASSAULT,6130.0,25.280000686645508,54.17123031616211,12.898995399475098,8.150965690612793,86.98836517333984,36.42971420288086,191.05609130859375,,,,,,,,,,,,,,,,,,,,,,,,,,0
2018-01-02,13,11.6,9.9,25.6,53.38,Partially cloudy,24824.01,0.0,0.0,1.51,16.0,2,0,2,2018,1,3.7,0.0,0.0,0.0,0.0,ASSAULT,6130.0,25.280000686645508,54.17123031616211,12.898995399475098,8.150965690612793,86.98836517333984,36.42971420288086,191.05609130859375,,,,,,,,,,,,,,,,,,,,,,,,,,1
2018-01-03,61,21.8,9.9,53.4,54.99,Partially cloudy,24922.68,0.0,0.0,1.2,19.2,3,0,3,2018,1,3.7,0.0,0.0,0.0,0.0,ASSAULT,6100.0,25.559999465942383,53.74299621582031,12.928311347961426,8.221843719482422,87.62691497802734,35.77417755126953,194.56082153320312,,,,,,,,,,,,,,,,,,,,,,,,,,2
2018-01-04,10,25.9,4.5,87.0,78.59,"Snow, Overcast",25075.13,0.62,6.67,7.71,34.2,4,0,4,2018,1,3.7,0.0,0.0,0.0,0.0,ASSAULT,6060.0,25.31999969482422,53.349037170410156,12.884333610534668,8.254061698913574,88.57128143310547,35.831180572509766,196.99630737304688,,,,,,,,,,48.0,5.6,24824.01,3.7,Clear,0.0,0.0,12.898995399475098,8.150965690612793,36.42971420288086,191.05609130859375,,,,,,3
2018-01-05,20,14.2,8.4,57.1,53.83,"Snow, Partially cloudy",25295.87,0.0,4.0,11.72,35.6,5,0,5,2018,1,3.7,0.0,0.0,0.0,0.0,ASSAULT,6030.0,25.969999313354492,53.93999099731445,12.840362548828125,8.337824821472168,88.6522216796875,36.648216247558594,200.37229919433594,,,,,,,,,,13.0,11.6,24824.01,3.7,Partially cloudy,0.0,0.0,12.898995399475098,8.150965690612793,36.42971420288086,191.05609130859375,,,,,,4
2018-01-06,26,8.1,9.5,25.4,43.9,Partially cloudy,25283.0,0.0,0.0,10.93,30.7,6,1,6,2018,1,3.7,0.0,0.0,0.0,0.0,ASSAULT,5950.0,25.809999465942383,54.984859466552734,12.994269371032715,8.357156753540039,89.62356567382812,35.93568801879883,200.6990203857422,,,,,,,,,,61.0,21.8,24922.68,3.7,Partially cloudy,0.0,0.0,12.928311347961426,8.221843719482422,35.77417755126953,194.56082153320312,,,,,,5
2018-01-07,19,6.6,9.9,39.3,43.41,Partially cloudy,25283.0,0.0,0.0,10.07,27.2,7,1,7,2018,1,3.7,0.0,0.0,0.0,0.0,ASSAULT,5950.0,25.809999465942383,54.984859466552734,12.994269371032715,8.357156753540039,89.62356567382812,35.93568801879883,200.6990203857422,3.6999999999999997,12.919933864048549,8.261425018310547,36.140625544956755,196.4913787841797,25.575714111328125,54.1920291355678,88.29632568359375,6050.0,10.0,25.9,25075.13,3.7,"Snow, Overcast",0.62,6.67,12.884333610534668,8.254061698913574,35.831180572509766,196.99630737304688,,,,,,6
2018-01-08,35,28.0,9.9,98.7,55.7,Overcast,25283.0,0.0,0.0,9.84,21.6,1,0,8,2018,1,3.7,0.0,0.0,0.0,0.0,ASSAULT,5950.0,25.809999465942383,54.984859466552734,12.994269371032715,8.357156753540039,89.62356567382812,35.93568801879883,200.6990203857422,3.6999999999999997,12.933544431413923,8.29088088444301,36.070050375802175,197.86894008091517,25.65142822265625,54.30826187133789,88.67278289794922,6024.285714285715,20.0,14.2,25295.87,3.7,"Snow, Partially cloudy",0.0,4.0,12.840362548828125,8.337824821472168,36.648216247558594,200.37229919433594,,,,,,7
2018-01-09,42,35.6,9.9,60.0,60.58,Partially cloudy,25385.8,0.0,0.0,9.84,18.3,2,0,9,2018,1,3.7,0.0,0.0,0.0,0.0,ASSAULT,5990.0,27.959999084472656,54.4024772644043,12.994269371032715,8.376486778259277,91.19747924804688,35.86442947387695,204.04531860351562,3.6999999999999997,12.947154998779297,8.323098182678223,35.9892954145159,199.72454398018974,26.034285136631556,54.3412971496582,89.27408490862165,6004.285714285715,26.0,8.1,25283.0,3.7,Partially cloudy,0.0,0.0,12.994269371032715,8.357156753540039,35.93568801879883,200.6990203857422,,,,,,8
2018-01-10,23,30.7,9.9,24.4,61.78,Clear,25369.13,0.0,0.0,9.53,12.8,3,0,10,2018,1,3.7,0.0,0.0,0.0,0.0,ASSAULT,6000.0,27.520000457763672,53.82008361816406,12.928311347961426,8.36359977722168,93.76072692871094,36.230194091796875,204.2333984375,3.6999999999999997,12.947154998779297,8.343349048069545,36.05444063459124,201.10634068080358,26.314285278320312,54.35230963570731,90.1503437587193,5990.0,19.0,6.6,25283.0,3.7,Partially cloudy,0.0,0.0,12.994269371032715,8.357156753540039,35.93568801879883,200.6990203857422,12.919933864048549,8.261425018310547,36.140625544956755,196.4913787841797,6050.0,9
